arm,filter_trainable_params,mean_ndcg10,flops_per_user_median,latency_ms_median,inference_peak_mib_median,training_peak_mib_median,training_wall_time_s_median
identity,0,0.052151297460,404352.0,2.075825002976,50.678222656250,582.647460937500,7.716793775558
shared,16,0.052211307310,404352.0,2.104700019117,50.674804687500,582.645507812500,7.818321824074
grouped,128,0.052124997093,404352.0,2.087024971843,50.679199218750,582.649902343750,7.685863494873
lowrank,320,0.052211333430,404416.0,2.132150024408,50.681152343750,583.279785156250,7.784375429153
learned,1024,0.052151499942,404352.0,2.072550007142,50.678222656250,582.659179687500,7.780914187431
pointwise,1024,0.052116429493,506752.0,2.120300021488,50.135253906250,580.939208984375,7.717810153961
