dataset,arm,filter_params,seed,HR@5,NDCG@5,HR@10,NDCG@10,HR@20,NDCG@20
Toys_and_Games,rank1,360,42,0.0427,0.0288,0.0636,0.0355,0.0938,0.0431
Toys_and_Games,rank1,360,43,0.0457,0.0317,0.067,0.0384,0.0966,0.0459
Toys_and_Games,rank1,360,44,0.0468,0.0316,0.0699,0.0391,0.099,0.0464
Toys_and_Games,rank1,360,45,0.0436,0.0296,0.0643,0.0362,0.0937,0.0436
Toys_and_Games,rank1,360,46,0.0468,0.0316,0.0686,0.0386,0.0998,0.0464
Toys_and_Games,shared,104,42,0.0419,0.0277,0.0637,0.0347,0.095,0.0426
Toys_and_Games,shared,104,43,0.0471,0.0323,0.0727,0.0405,0.1026,0.0481
Toys_and_Games,shared,104,44,0.043,0.0288,0.0644,0.0358,0.0929,0.043
Toys_and_Games,shared,104,45,0.0455,0.0307,0.0667,0.0374,0.0956,0.0447
Toys_and_Games,shared,104,46,0.0406,0.0273,0.0618,0.0341,0.0905,0.0413
Toys_and_Games,none,0,42,0.0312,0.0217,0.0479,0.0271,0.0707,0.0329
Toys_and_Games,none,0,43,0.0319,0.0218,0.047,0.0266,0.0684,0.032
Toys_and_Games,none,0,44,0.0309,0.021,0.047,0.0262,0.0711,0.0322
Toys_and_Games,none,0,45,0.0341,0.0223,0.0485,0.0269,0.0689,0.032
Toys_and_Games,none,0,46,0.0342,0.0238,0.0512,0.0292,0.074,0.0349
